year,total_speakers_global,total_speakers_rf,source_name,source_url
2010,,1152404,2010 Russian census,http://www.gks.ru/free_doc/new_site/population/demo/per-itog/tab6.xls
2025,1661000,1567000,Joshua Project,https://www.joshuaproject.net/languages/bak
